Rank,Theme,Score (0-100),BG,FG,FG/BG Contrast,FG/BG SC-1.4.3/1.4.6 Level,Palette 0,P0 vs BG Contrast,P0 vs BG SC-1.4.3/1.4.6,Palette 1,P1 vs BG Contrast,P1 vs BG SC-1.4.3/1.4.6,Palette 2,P2 vs BG Contrast,P2 vs BG SC-1.4.3/1.4.6,Palette 3,P3 vs BG Contrast,P3 vs BG SC-1.4.3/1.4.6,Palette 4,P4 vs BG Contrast,P4 vs BG SC-1.4.3/1.4.6,Palette 5,P5 vs BG Contrast,P5 vs BG SC-1.4.3/1.4.6,Palette 6,P6 vs BG Contrast,P6 vs BG SC-1.4.3/1.4.6,Palette 7,P7 vs BG Contrast,P7 vs BG SC-1.4.3/1.4.6,Palette 8,P8 vs BG Contrast,P8 vs BG SC-1.4.3/1.4.6,Palette 9,P9 vs BG Contrast,P9 vs BG SC-1.4.3/1.4.6,Palette 10,P10 vs BG Contrast,P10 vs BG SC-1.4.3/1.4.6,Palette 11,P11 vs BG Contrast,P11 vs BG SC-1.4.3/1.4.6,Palette 12,P12 vs BG Contrast,P12 vs BG SC-1.4.3/1.4.6,Palette 13,P13 vs BG Contrast,P13 vs BG SC-1.4.3/1.4.6,Palette 14,P14 vs BG Contrast,P14 vs BG SC-1.4.3/1.4.6,Palette 15,P15 vs BG Contrast,P15 vs BG SC-1.4.3/1.4.6,Palette SC-1.4.3 AA Normal (>=4.5:1),Palette SC-1.4.3 AA Large (>=3:1),Palette SC-1.4.6 AAA Normal (>=7:1),Palette SC-1.4.6 AAA Large (>=4.5:1),Cursor Color,Cursor vs BG Contrast,Cursor vs BG SC-1.4.11 (>=3:1),Cursor Text Color,CursorTxt vs Cursor Contrast,CursorTxt vs Cursor SC-1.4.3/1.4.6,Selection BG,Selection FG,SelFG vs SelBG Contrast,SelFG vs SelBG SC-1.4.3/1.4.6,SelBG vs BG Contrast,SelBG vs BG SC-1.4.11 (>=3:1),Blue Light Index,Color Temperature (K),Palette Min DeltaE,Palette Hue StdDev (deg),APCA FG/BG (Lc),APCA Palette Body (|Lc|>=75),APCA Palette Large (|Lc|>=60)
371,Onenord Light,37,#F7F8FA,#2E3440,11.75:1,AAA,#2E3440,11.75:1,AAA,#CB4F53,4.13:1,AA-Large,#48A53D,2.94:1,Fail,#EE5E25,3.16:1,AA-Large,#3879C5,4.20:1,AA-Large,#9F4ACA,4.59:1,AA,#3EA1AD,2.86:1,Fail,#B2B6BD,1.92:1,Fail,#646A76,5.11:1,AA,#D16366,3.47:1,AA-Large,#5F9E9D,2.88:1,Fail,#BA793E,3.35:1,AA-Large,#1B40A6,8.48:1,AAA,#9665AF,4.14:1,AA-Large,#8FBCBB,1.96:1,Fail,#ECEFF4,1.08:1,Fail,4/16,10/16,2/16,4/16,#3879C5,4.20:1,Pass,#F7F8FA,4.20:1,AA-Large,#EAEBED,#000000,17.60:1,AAA,1.12:1,Fail,0.338,6619,8.85,84.54,94.2,2/16,7/16
372,Zenburn,36,#3F3F3F,#DCDCCC,7.60:1,AAA,#4D4D4D,1.25:1,Fail,#7D5D5D,1.80:1,Fail,#60B48A,4.21:1,AA-Large,#F0DFAF,7.96:1,AAA,#5D6D7D,1.98:1,Fail,#DC8CC3,4.30:1,AA-Large,#8CD0D3,6.06:1,AA,#DCDCCC,7.60:1,AAA,#709080,3.00:1,AA-Large,#DCA3A3,4.92:1,AA,#C3BF9F,5.65:1,AA,#E0CF9F,6.82:1,AA,#94BFF3,5.52:1,AA,#EC93D3,4.85:1,AA,#93E0E3,7.03:1,AAA,#FFFFFF,10.53:1,AAA,10/16,13/16,4/16,10/16,#73635A,1.84:1,Fail,#000000,3.66:1,AA-Large,#21322F,#C2D87A,8.58:1,AAA,1.28:1,Fail,0.333,6503,5.69,97.23,-75.3,3/16,6/16
373,Sleepy Hollow,36,#121214,#AF9A91,7.00:1,AA,#572100,1.45:1,Fail,#BA3934,3.32:1,AA-Large,#91773F,4.38:1,AA-Large,#B55600,3.83:1,AA-Large,#5F63B4,3.50:1,AA-Large,#A17C7B,5.06:1,AA,#8FAEA9,7.84:1,AAA,#AF9A91,7.00:1,AA,#4E4B61,2.23:1,Fail,#D9443F,4.32:1,AA-Large,#D6B04E,9.07:1,AAA,#F66813,6.16:1,AA,#8086EF,5.86:1,AA,#E2C2BB,11.29:1,AAA,#A4DCE7,12.45:1,AAA,#D2C7A9,11.12:1,AAA,9/16,14/16,5/16,9/16,#AF9A91,7.00:1,Pass,#391A02,5.94:1,AA,#575256,#D2C7A9,4.54:1,AA,2.45:1,Fail,0.366,7244,10.29,72.04,-49.3,1/16,4/16
374,Ryuuko,36,#2C3941,#ECECEC,10.05:1,AAA,#2C3941,1.00:1,Fail,#865F5B,2.15:1,Fail,#66907D,3.31:1,AA-Large,#B1A990,5.06:1,AA,#6A8E95,3.34:1,AA-Large,#B18A73,3.82:1,AA-Large,#88B2AC,5.09:1,AA,#ECECEC,10.05:1,AAA,#5D7079,2.30:1,Fail,#865F5B,2.15:1,Fail,#66907D,3.31:1,AA-Large,#B1A990,5.06:1,AA,#6A8E95,3.34:1,AA-Large,#B18A73,3.82:1,AA-Large,#88B2AC,5.09:1,AA,#ECECEC,10.05:1,AAA,6/16,12/16,2/16,6/16,#ECECEC,10.05:1,Pass,#002831,13.19:1,AAA,#002831,#819090,4.69:1,AA,1.31:1,Fail,0.444,10519,0.00,77.59,-88.4,2/16,2/16
375,Solarized Dark Higher Contrast,36,#001E27,#9CC2C3,8.99:1,AAA,#002831,1.11:1,Fail,#D11C24,3.21:1,AA-Large,#6CBE6C,7.59:1,AAA,#A57706,4.31:1,AA-Large,#2176C7,3.69:1,AA-Large,#C61C6F,3.12:1,AA-Large,#259286,4.56:1,AA,#EAE3CB,13.46:1,AAA,#006488,2.62:1,Fail,#F5163B,4.16:1,AA-Large,#51EF84,11.55:1,AAA,#B27E28,4.86:1,AA,#178EC8,4.72:1,AA,#E24D8E,4.68:1,AA,#00B39E,6.54:1,AA,#FCF4DC,15.73:1,AAA,9/16,14/16,4/16,9/16,#F34B00,4.79:1,Pass,#002831,4.32:1,AA-Large,#003748,#7A8F8E,3.75:1,AA-Large,1.35:1,Fail,0.610,24763,6.04,109.75,-64.1,3/16,3/16
376,Pale Night Hc,36,#3E4251,#CCCCCC,6.22:1,AA,#000000,2.10:1,Fail,#F07178,3.49:1,AA-Large,#C3E88D,7.25:1,AAA,#FFCB6B,6.66:1,AA,#82AAFF,4.35:1,AA-Large,#C792EA,4.15:1,AA-Large,#89DDFF,6.59:1,AA,#FFFFFF,9.99:1,AAA,#737373,2.11:1,Fail,#F6A9AE,5.33:1,AA,#DBF1BA,8.23:1,AAA,#FFDFA6,7.78:1,AAA,#B4CCFF,6.19:1,AA,#DDBDF2,6.01:1,AA,#B8EAFF,7.73:1,AAA,#999999,3.51:1,AA-Large,10/16,14/16,5/16,10/16,#FFCB6B,6.66:1,Pass,#323232,8.55:1,AAA,#717CB4,#80CBC4,2.15:1,Fail,2.49:1,Fail,0.445,10487,12.16,153.19,-65.1,4/16,9/16
377,Relaxed,36,#353A44,#D9D9D9,8.09:1,AAA,#151515,1.60:1,Fail,#BC5653,2.50:1,Fail,#909D63,3.91:1,AA-Large,#EBC17A,6.76:1,AA,#6A8799,3.01:1,AA-Large,#B06698,2.83:1,Fail,#C9DFFF,8.41:1,AAA,#D9D9D9,8.09:1,AAA,#636363,1.90:1,Fail,#BC5653,2.50:1,Fail,#A0AC77,4.71:1,AA,#EBC17A,6.76:1,AA,#7EAAC7,4.60:1,AA,#B06698,2.83:1,Fail,#ACBBD0,5.85:1,AA,#F7F7F7,10.65:1,AAA,8/16,10/16,3/16,8/16,#D9D9D9,8.09:1,Pass,#1B1B1B,12.20:1,AAA,#6A7985,#D9D9D9,3.17:1,AA-Large,2.55:1,Fail,0.426,9513,0.00,113.54,-75.7,3/16,5/16
378,Horizon Bright,36,#FDF0ED,#16161D,16.17:1,AAA,#16161D,16.17:1,AAA,#FC4777,2.99:1,Fail,#00CA86,1.93:1,Fail,#F2A682,1.79:1,Fail,#00BEDD,2.00:1,Fail,#FF58B1,2.59:1,Fail,#00CDCB,1.78:1,Fail,#BFAFAC,1.90:1,Fail,#1A1C24,15.27:1,AAA,#FE5F87,2.62:1,Fail,#00D193,1.79:1,Fail,#E5A688,1.86:1,Fail,#00C9E2,1.80:1,Fail,#FF6CBA,2.33:1,Fail,#00C3C2,1.97:1,Fail,#FFF2EF,1.02:1,Fail,2/16,2/16,2/16,2/16,#D3A89D,1.91:1,Fail,#FFE8DC,1.81:1,Fail,#F9CEC3,#16161D,12.55:1,AAA,1.29:1,Fail,0.314,5944,3.05,116.07,97.4,2/16,2/16
379,Material,36,#EAEAEA,#232322,13.08:1,AAA,#212121,13.38:1,AAA,#B7141F,5.57:1,AA,#457B24,4.25:1,AA-Large,#F6981E,1.85:1,Fail,#134EB2,6.32:1,AA,#560088,9.97:1,AAA,#0E717C,4.75:1,AA,#AFAFAF,1.82:1,Fail,#424242,8.35:1,AAA,#E83B3F,3.40:1,AA-Large,#7ABA3A,1.96:1,Fail,#BFAA00,1.95:1,Fail,#54A4F3,2.19:1,Fail,#AA4DBC,3.88:1,AA-Large,#26BBD1,1.92:1,Fail,#D9D9D9,1.17:1,Fail,6/16,9/16,3/16,6/16,#16AFCA,2.18:1,Fail,#2E2E2D,5.19:1,AA,#C2C2C2,#4E4E4E,4.67:1,AA,1.48:1,Fail,0.333,6503,14.45,102.26,90.3,3/16,7/16
380,Piatto Light,36,#FFFFFF,#414141,10.21:1,AAA,#414141,10.21:1,AAA,#B23771,5.71:1,AA,#66781E,4.92:1,AA,#CD6F34,3.55:1,AA-Large,#3C5EA8,6.25:1,AA,#A454B2,4.68:1,AA,#66781E,4.92:1,AA,#BFBFBF,1.84:1,Fail,#3F3F3F,10.53:1,AAA,#DB3365,4.49:1,AA-Large,#829429,3.38:1,AA-Large,#CD6F34,3.55:1,AA-Large,#3C5EA8,6.25:1,AA,#A454B2,4.68:1,AA,#829429,3.38:1,AA-Large,#F2F2F2,1.12:1,Fail,9/16,14/16,2/16,9/16,#5E77C8,4.24:1,Pass,#ABBEE5,2.27:1,Fail,#706B4E,#ACBCDC,2.81:1,Fail,5.38:1,Pass,0.333,6503,0.00,97.52,93.7,5/16,14/16
381,Tomorrow,36,#FFFFFF,#4D4D4C,8.46:1,AAA,#000000,21.00:1,AAA,#C82829,5.54:1,AA,#718C00,3.85:1,AA-Large,#EAB700,1.86:1,Fail,#4271AE,4.99:1,AA,#8959A8,5.17:1,AA,#3E999F,3.35:1,AA-Large,#BFBFBF,1.84:1,Fail,#000000,21.00:1,AAA,#C82829,5.54:1,AA,#718C00,3.85:1,AA-Large,#EAB700,1.86:1,Fail,#4271AE,4.99:1,AA,#8959A8,5.17:1,AA,#3E999F,3.35:1,AA-Large,#FFFFFF,1.00:1,Fail,8/16,12/16,2/16,8/16,#4D4D4C,8.46:1,Pass,#FFFFFF,8.46:1,AAA,#D6D6D6,#4D4D4C,5.82:1,AA,1.45:1,Fail,0.333,6503,0.00,121.49,89.2,6/16,12/16
382,Farmhouse Light,36,#E8E4E1,#1D2027,12.90:1,AAA,#1D2027,12.90:1,AAA,#8D0003,7.79:1,AAA,#3A7D00,4.04:1,AA-Large,#A95600,4.14:1,AA-Large,#092CCD,7.37:1,AAA,#820046,8.15:1,AAA,#229256,3.13:1,AA-Large,#A8A4A1,1.96:1,Fail,#394047,8.31:1,AAA,#EB0009,3.66:1,AA-Large,#7AC100,1.76:1,Fail,#EA9A00,1.82:1,Fail,#006EFE,3.56:1,AA-Large,#BF3B7F,4.01:1,AA-Large,#00C649,1.81:1,Fail,#F4EEF0,1.10:1,Fail,5/16,11/16,5/16,5/16,#006EFE,3.56:1,Pass,#1D2027,3.62:1,AA-Large,#B3B1AA,#4D5658,3.51:1,AA-Large,1.70:1,Fail,0.322,6235,14.59,91.49,87.7,3/16,5/16
383,GitHub,35,#F4F4F4,#3E3E3E,9.72:1,AAA,#3E3E3E,9.72:1,AAA,#970B16,8.04:1,AAA,#07962A,3.53:1,AA-Large,#C5BB94,1.75:1,Fail,#003E8A,9.29:1,AAA,#E94691,3.32:1,AA-Large,#7CC4DF,1.76:1,Fail,#B2B2B2,1.93:1,Fail,#666666,5.22:1,AA,#DE0000,4.65:1,AA,#7AC895,1.81:1,Fail,#D7B600,1.80:1,Fail,#2E6CBA,4.81:1,AA,#F29592,2.01:1,Fail,#00C7CB,1.90:1,Fail,#FFFFFF,1.10:1,Fail,6/16,8/16,3/16,6/16,#3F3F3F,9.57:1,Pass,#F4F4F4,9.57:1,AAA,#A9C1E2,#535353,4.18:1,AA-Large,1.67:1,Fail,0.333,6503,16.98,92.39,88.3,3/16,6/16
384,Misterioso,35,#2D3743,#E1E1E0,9.23:1,AAA,#000000,1.74:1,Fail,#FF4242,3.51:1,AA-Large,#74AF68,4.64:1,AA,#FFAD29,6.48:1,AA,#338F86,3.11:1,AA-Large,#9414E6,2.01:1,Fail,#23D7D7,6.77:1,AA,#E1E1E0,9.23:1,AAA,#626262,1.98:1,Fail,#FF3242,3.33:1,AA-Large,#74CD68,6.14:1,AA,#FFB929,7.03:1,AAA,#23D7D7,6.77:1,AA,#FF37FF,4.16:1,AA-Large,#00EDE1,8.17:1,AAA,#FFFFFF,12.08:1,AAA,9/16,13/16,4/16,9/16,#666666,2.10:1,Fail,#FFFFFF,5.74:1,AA,#2D37FF,#000000,3.10:1,AA-Large,1.78:1,Fail,0.466,11768,0.00,88.44,-81.7,2/16,7/16
385,Monokai Pro Light,35,#FAF4F2,#29242A,13.98:1,AAA,#FAF4F2,1.00:1,Fail,#E14775,3.60:1,AA-Large,#269D69,3.16:1,AA-Large,#CC7A0A,3.03:1,AA-Large,#E16032,3.26:1,AA-Large,#7058BE,5.04:1,AA,#1C8CA8,3.59:1,AA-Large,#29242A,13.98:1,AAA,#A59FA0,2.39:1,Fail,#E14775,3.60:1,AA-Large,#269D69,3.16:1,AA-Large,#CC7A0A,3.03:1,AA-Large,#E16032,3.26:1,AA-Large,#7058BE,5.04:1,AA,#1C8CA8,3.59:1,AA-Large,#29242A,13.98:1,AAA,4/16,14/16,2/16,4/16,#706B6E,4.80:1,Pass,#A39EA1,1.98:1,Fail,#BFB9BA,#29242A,7.87:1,AAA,1.78:1,Fail,0.323,6220,0.00,84.74,96.3,2/16,6/16
386,Firewatch,35,#1E2027,#9BA2B2,6.35:1,AA,#585F6D,2.53:1,Fail,#D95360,4.15:1,AA-Large,#5AB977,6.69:1,AA,#DFB563,8.46:1,AAA,#4D89C4,4.41:1,AA-Large,#D55119,3.89:1,AA-Large,#44A8B6,5.83:1,AA,#E6E5FF,13.18:1,AAA,#585F6D,2.53:1,Fail,#D95360,4.15:1,AA-Large,#5AB977,6.69:1,AA,#DFB563,8.46:1,AAA,#4C89C5,4.41:1,AA-Large,#D55119,3.89:1,AA-Large,#44A8B6,5.83:1,AA,#E6E5FF,13.18:1,AAA,8/16,14/16,4/16,8/16,#F6F7EC,15.05:1,Pass,#B7B8A8,1.86:1,Fail,#2F363E,#7D8FA4,3.69:1,AA-Large,1.33:1,Fail,0.425,9434,0.00,118.05,-49.7,2/16,4/16
387,Melange Light,35,#F1F1F1,#54433A,8.30:1,AAA,#E9E1DB,1.14:1,Fail,#C77B8B,2.80:1,Fail,#6E9B72,2.82:1,Fail,#BC5C00,3.98:1,AA-Large,#7892BD,2.80:1,Fail,#BE79BB,2.80:1,Fail,#739797,2.82:1,Fail,#7D6658,4.75:1,AA,#A98A78,2.82:1,Fail,#BF0021,5.74:1,AA,#3A684A,5.71:1,AA,#A06D00,3.97:1,AA-Large,#465AA4,5.71:1,AA,#904180,5.71:1,AA,#3D6568,5.70:1,AA,#54433A,8.30:1,AAA,7/16,9/16,1/16,7/16,#54433A,8.30:1,Pass,#F1F1F1,8.30:1,AAA,#54433A,#D9D3CE,6.32:1,AA,8.30:1,Pass,0.333,6503,15.21,90.55,83.3,1/16,9/16
388,Tearout,35,#34392D,#F4D2AE,8.30:1,AAA,#685742,1.71:1,Fail,#CC967B,4.64:1,AA,#97976D,3.94:1,AA-Large,#6C9861,3.56:1,AA-Large,#B5955E,4.20:1,AA-Large,#C9A554,5.08:1,AA,#D7C483,6.85:1,AA,#B5955E,4.20:1,AA-Large,#75644F,2.09:1,Fail,#CC967B,4.64:1,AA,#97976D,3.94:1,AA-Large,#6C9861,3.56:1,AA-Large,#B5955E,4.20:1,AA-Large,#C9A554,5.08:1,AA,#D7C483,6.85:1,AA,#B5955E,4.20:1,AA-Large,6/16,14/16,0/16,6/16,#D7C483,6.85:1,Pass,#141415,10.62:1,AAA,#E4C47A,#000000,12.48:1,AAA,7.05:1,Pass,0.259,5694,0.00,22.97,-75.7,0/16,2/16
389,Night Owlish Light,35,#FFFFFF,#403F53,10.22:1,AAA,#011627,18.33:1,AAA,#D3423E,4.55:1,AA,#2AA298,3.13:1,AA-Large,#DAAA01,2.16:1,Fail,#4876D6,4.34:1,AA-Large,#403F53,10.22:1,AAA,#08916A,3.99:1,AA-Large,#7A8181,3.97:1,AA-Large,#7A8181,3.97:1,AA-Large,#F76E6E,2.83:1,Fail,#49D0C5,1.89:1,Fail,#DAC26B,1.76:1,Fail,#5CA7E4,2.59:1,Fail,#697098,4.80:1,AA,#00C990,2.15:1,Fail,#989FB1,2.65:1,Fail,4/16,9/16,2/16,4/16,#403F53,10.22:1,Pass,#FBFBFB,9.88:1,AAA,#F2F2F2,#403F53,9.13:1,AAA,1.12:1,Fail,0.333,6503,0.00,91.43,93.7,2/16,8/16
390,N0Tch2K,35,#222222,#A0A0A0,6.08:1,AA,#383838,1.36:1,Fail,#A95551,3.11:1,AA-Large,#666666,2.77:1,Fail,#A98051,4.47:1,AA-Large,#657D3E,3.45:1,AA-Large,#767676,3.50:1,AA-Large,#C9C9C9,9.61:1,AAA,#D0B8A3,8.38:1,AAA,#545454,2.10:1,Fail,#A97775,4.23:1,AA-Large,#8C8C8C,4.73:1,AA,#A99175,5.30:1,AA,#98BD5E,7.41:1,AAA,#A3A3A3,6.31:1,AA,#DCDCDC,11.60:1,AAA,#D8C8BB,9.77:1,AAA,8/16,13/16,5/16,8/16,#AA9175,5.32:1,Pass,#000000,7.02:1,AAA,#4D4D4D,#FFFFFF,8.45:1,AAA,1.88:1,Fail,0.333,6503,6.44,50.79,-48.4,1/16,4/16
391,Firefox Dev,35,#0E1011,#7C8FA4,5.74:1,AA,#002831,1.22:1,Fail,#E63853,4.59:1,AA,#5EB83C,7.63:1,AAA,#A57706,4.76:1,AA,#359DDF,6.39:1,AA,#D75CFF,6.24:1,AA,#4B73A2,3.88:1,AA-Large,#DCDCDC,13.91:1,AAA,#26444D,1.83:1,Fail,#E1003F,3.88:1,AA-Large,#1D9000,4.58:1,AA,#CD9409,7.12:1,AAA,#006FC0,3.67:1,AA-Large,#A200DA,3.22:1,AA-Large,#005794,2.54:1,Fail,#E2E2E2,14.72:1,AAA,9/16,13/16,4/16,9/16,#708284,4.74:1,Pass,#002831,3.87:1,AA-Large,#163C61,#F2F5F9,10.36:1,AAA,1.68:1,Fail,0.369,7551,2.12,116.33,-40.7,2/16,2/16
392,Spiderman,34,#1B1D1E,#E3E3E3,13.18:1,AAA,#1B1D1E,1.00:1,Fail,#E60813,3.55:1,AA-Large,#E22928,3.69:1,AA-Large,#E24756,4.25:1,AA-Large,#2C3FFF,2.63:1,Fail,#2435DB,2.10:1,Fail,#3256FF,3.15:1,AA-Large,#FFFEF6,16.73:1,AAA,#505354,2.18:1,Fail,#FF0325,4.26:1,AA-Large,#FF3338,4.66:1,AA,#FE3A35,4.73:1,AA,#1D50FF,2.94:1,Fail,#747CFF,4.89:1,AA,#6184FF,5.04:1,AA,#FFFFF9,16.86:1,AAA,6/16,11/16,2/16,6/16,#2C3FFF,2.63:1,Fail,#000000,3.26:1,AA-Large,#070E50,#F0272D,4.24:1,AA-Large,1.04:1,Fail,0.358,7212,1.12,78.77,-88.1,2/16,2/16
393,Matrix,34,#0F191C,#426644,2.73:1,Fail,#0F191C,1.00:1,Fail,#23755A,3.20:1,AA-Large,#82D967,10.26:1,AAA,#FFD700,12.73:1,AAA,#3F5242,2.12:1,Fail,#409931,4.95:1,AA,#50B45A,6.82:1,AA,#507350,3.32:1,AA-Large,#688060,4.12:1,AA-Large,#2FC079,7.60:1,AAA,#90D762,10.27:1,AAA,#FAFF00,16.47:1,AAA,#4F7E7E,3.93:1,AA-Large,#11FF25,13.06:1,AAA,#C1FF8A,15.25:1,AAA,#678C61,4.68:1,AA,10/16,14/16,7/16,10/16,#384545,1.79:1,Fail,#00FF00,7.27:1,AAA,#18282E,#00FF87,11.33:1,AAA,1.17:1,Fail,0.445,10567,5.51,30.43,-18.5,4/16,6/16
394,Later This Evening,34,#222222,#959595,5.31:1,AA,#2B2B2B,1.12:1,Fail,#D45A60,4.11:1,AA-Large,#AFBA67,7.61:1,AAA,#E5D289,10.54:1,AAA,#A0BAD6,7.95:1,AAA,#C092D6,6.31:1,AA,#91BFB7,7.83:1,AAA,#494A4A,1.79:1,Fail,#525454,2.09:1,Fail,#D3232F,3.07:1,AA-Large,#AABB39,7.48:1,AAA,#E5BE39,8.91:1,AAA,#6699D6,5.37:1,AA,#AB53D6,3.74:1,AA-Large,#5FC0AE,7.30:1,AAA,#C1C2C2,8.91:1,AAA,10/16,13/16,8/16,10/16,#4F4F4F,1.94:1,Fail,#959595,2.73:1,Fail,#424242,#959595,3.36:1,AA-Large,1.58:1,Fail,0.333,6503,4.20,99.37,-42.7,1/16,5/16
395,Selenized Dark,34,#103C48,#ADBCBC,6.07:1,AA,#184956,1.21:1,Fail,#FA5750,3.71:1,AA-Large,#75B938,4.97:1,AA,#DBB32D,5.96:1,AA,#4695F7,3.92:1,AA-Large,#F275BE,4.58:1,AA,#41C7B9,5.73:1,AA,#ADBCBC,6.07:1,AA,#72898F,3.23:1,AA-Large,#FF665C,4.15:1,AA-Large,#84C747,5.81:1,AA,#EBC13D,6.94:1,AA,#58A3FF,4.60:1,AA,#FF84CD,5.35:1,AA,#53D6C7,6.70:1,AA,#CAD8D9,8.14:1,AAA,11/16,15/16,1/16,11/16,#ADBCBC,6.07:1,Pass,#103C48,6.07:1,AA,#184956,#53D6C7,5.55:1,AA,1.21:1,Fail,0.563,18650,5.13,109.40,-57.4,0/16,3/16
396,Monokai Pro Light Sun,34,#F8EFE7,#2C232E,13.33:1,AAA,#F8EFE7,1.00:1,Fail,#CE4770,3.89:1,AA-Large,#218871,3.83:1,AA-Large,#B16803,3.81:1,AA-Large,#D4572B,3.56:1,AA-Large,#6851A2,5.63:1,AA,#2473B6,4.40:1,AA-Large,#2C232E,13.33:1,AAA,#A59C9C,2.36:1,Fail,#CE4770,3.89:1,AA-Large,#218871,3.83:1,AA-Large,#B16803,3.81:1,AA-Large,#D4572B,3.56:1,AA-Large,#6851A2,5.63:1,AA,#2473B6,4.40:1,AA-Large,#2C232E,13.33:1,AAA,4/16,14/16,2/16,4/16,#72696D,4.67:1,Pass,#A59CA0,1.99:1,Fail,#BEB5B3,#2C232E,7.53:1,AAA,1.77:1,Fail,0.307,5906,0.00,79.52,93.3,2/16,12/16
397,Miasma,34,#222222,#C2C2B0,8.82:1,AAA,#000000,1.32:1,Fail,#685742,2.30:1,Fail,#5F875F,3.88:1,AA-Large,#B36D43,3.93:1,AA-Large,#78824B,3.86:1,AA-Large,#BB7744,4.42:1,AA-Large,#C9A554,6.81:1,AA,#D7C483,9.18:1,AAA,#666666,2.77:1,Fail,#685742,2.30:1,Fail,#5F875F,3.88:1,AA-Large,#B36D43,3.93:1,AA-Large,#78824B,3.86:1,AA-Large,#BB7744,4.42:1,AA-Large,#C9A554,6.81:1,AA,#D7C483,9.18:1,AAA,4/16,12/16,2/16,4/16,#C7C7C7,9.41:1,Pass,#959595,1.77:1,Fail,#E5C47B,#000000,12.51:1,AAA,9.48:1,Pass,0.333,6503,0.00,38.67,-66.6,0/16,2/16
398,Havn Daggry,34,#F8F9FB,#3B4A7A,8.15:1,AAA,#1F2842,13.84:1,AAA,#985248,5.48:1,AA,#577159,5.10:1,AA,#BE6B00,3.77:1,AA-Large,#3A577D,7.02:1,AAA,#7C5C97,5.20:1,AA,#925780,5.12:1,AA,#B0B5C5,1.94:1,Fail,#1F2842,13.84:1,AAA,#CC4A35,4.34:1,AA-Large,#719679,3.14:1,AA-Large,#F1A527,1.96:1,Fail,#6089C0,3.42:1,AA-Large,#7D7396,4.18:1,AA-Large,#AA869D,3.02:1,AA-Large,#D6DBEB,1.31:1,Fail,7/16,13/16,3/16,7/16,#226C4F,5.99:1,Pass,#D6DBEB,4.57:1,AA,#CFE9DD,#313C64,8.34:1,AAA,1.22:1,Fail,0.338,6618,0.00,79.27,85.8,4/16,10/16
399,Bluloco Light,33,#F9F9F9,#373A41,10.82:1,AAA,#373A41,10.82:1,AAA,#D52753,4.70:1,AA,#23974A,3.56:1,AA-Large,#DF631C,3.36:1,AA-Large,#275FE4,5.19:1,AA,#823FF1,5.07:1,AA,#27618D,6.27:1,AA,#BABBC2,1.82:1,Fail,#676A77,5.11:1,AA,#FF6480,2.70:1,Fail,#3CBC66,2.33:1,Fail,#C5A332,2.30:1,Fail,#0099E1,3.00:1,AA-Large,#CE33C0,4.10:1,AA-Large,#6D93BB,3.05:1,AA-Large,#D3D3D3,1.42:1,Fail,6/16,11/16,1/16,6/16,#F32759,3.80:1,Pass,#FFFFFF,4.00:1,AA-Large,#DAF0FF,#373A41,9.70:1,AAA,1.11:1,Fail,0.333,6503,9.36,89.19,92.7,2/16,8/16
400,Red Planet,33,#222222,#C2B790,7.93:1,AAA,#202020,1.02:1,Fail,#8C3432,2.01:1,Fail,#728271,3.90:1,AA-Large,#E8BF6A,9.16:1,AAA,#69819E,3.97:1,AA-Large,#896492,3.26:1,AA-Large,#5B8390,3.86:1,AA-Large,#B9AA99,7.03:1,AAA,#676767,2.81:1,Fail,#B55242,3.22:1,AA-Large,#869985,5.23:1,AA,#EBEB91,12.75:1,AAA,#60827E,3.78:1,AA-Large,#DE4974,4.02:1,AA-Large,#38ADD8,6.16:1,AA,#D6BFB8,9.09:1,AAA,6/16,13/16,4/16,6/16,#C2B790,7.93:1,Pass,#202020,8.12:1,AAA,#1B324A,#BCB291,6.19:1,AA,1.21:1,Fail,0.333,6503,8.77,97.79,-61.1,1/16,3/16
401,Alien Blood,33,#0F1610,#637D75,4.13:1,AA-Large,#112616,1.15:1,Fail,#7F2B27,1.99:1,Fail,#2F7E25,3.62:1,AA-Large,#717F24,4.17:1,AA-Large,#2F6A7F,3.05:1,AA-Large,#47587F,2.60:1,Fail,#327F77,3.88:1,AA-Large,#647D75,4.14:1,AA-Large,#3C4812,1.86:1,Fail,#E08009,6.36:1,AA,#18E000,10.24:1,AAA,#BDE000,12.10:1,AAA,#00AAE0,6.85:1,AA,#0058E0,3.04:1,AA-Large,#00E0C4,10.90:1,AAA,#73FA91,13.84:1,AAA,6/16,12/16,4/16,6/16,#73FA91,13.84:1,Pass,#0F1610,13.84:1,AAA,#1D4125,#73FA91,8.62:1,AAA,1.61:1,Fail,0.288,6514,15.41,72.79,-30.0,2/16,4/16
